time_bucket_id,unique_src_ips,unique_dst_ips,unique_dst_ports,avg_duration,failed_conns,tcp_count,dns_count,unique_domains,file_count,total_file_bytes,reporter_count,snmp_count,tunnel_count,unique_tunnel_types,failed_conn_ratio,tcp_ratio,snmp_write_ratio,traffic_asymmetry,total_bytes,src_concentration,weird_rate,dns_to_conn_ratio,nxdomain_ratio
145,1278,85,380,0.683281824547363,2283,2310,5.0,5.0,281.0,31104253.0,12.0,1.0,0.0,0.0,0.8203377650017967,0.8300395256916996,0.0,-0.985002215319293,14370389.0,0.45921667265540783,0.0032339202299676607,0.0017966223499820337,0.0
146,1252,101,387,0.2332693408031785,2441,2285,6.0,5.0,15.0,1500.0,14.0,5.0,0.0,0.0,0.9037393557941504,0.8459829692706405,0.0,0.22908297376382483,20163.0,0.4635320251758608,0.0037023324694557573,0.0022213994816734544,0.0
147,1252,110,351,1.6522373623019146,1748,1602,324.0,8.0,28.0,1749.0,17.0,7.0,0.0,0.0,0.8100092678405931,0.742354031510658,0.0,0.1301888112587084,100047.0,0.5801668211306765,0.0037071362372567192,0.15013901760889714,0.4444444444444444
148,1103,102,417,0.4471879682334095,2013,1883,8.0,8.0,13.0,1850.0,15.0,4.0,0.0,0.0,0.8635778635778636,0.8078078078078078,0.0,0.012511052997949317,53153.0,0.4731874731874732,0.013299013299013299,0.003432003432003432,0.0
149,1103,101,442,0.3694640570211065,2397,2254,5.0,5.0,9.0,2682.0,16.0,3.0,0.0,0.0,0.8809261300992283,0.8283719220874678,0.0,0.014413800930654863,52866.0,0.4053656743844175,0.009187798603454611,0.0018375597206909224,0.0
150,1025,91,491,0.5299653098765729,1661,1552,6.0,6.0,32.0,3422.0,15.0,1.0,0.0,0.0,0.8414387031408308,0.7862208713272543,0.0,-0.1190459288705899,56348.0,0.5192502532928065,0.009625126646403243,0.00303951367781155,0.0
151,864,88,474,0.7597531372895684,1416,1334,7.0,7.0,74.0,2821.0,12.0,4.0,0.0,0.0,0.80868075385494,0.7618503712164477,0.0,0.04552194157583955,76886.0,0.4934323243860651,0.0034266133637921186,0.003997715591090805,0.0
152,878,104,352,0.8217061980419568,1364,1203,15.0,5.0,53.0,2406.0,11.0,3.0,0.0,0.0,0.7632904308897593,0.6731952993844432,0.0,0.9995167651404371,144989540.0,0.49132624510352546,0.008393956351426972,0.008393956351426972,0.4666666666666667
153,878,115,370,1.0265134806742804,1460,1310,97.0,10.0,14.0,1660.0,18.0,4.0,0.0,0.0,0.7460398569238631,0.6693919264179867,0.0,0.13582062120933652,59851.0,0.44864588656106286,0.009197751660705161,0.049565661727133364,0.15463917525773196
154,1001,124,518,2.3600021396736497,1672,1542,40.0,12.0,25.0,2359.0,16.0,5.0,1.0,1.0,0.798090692124105,0.7360381861575179,0.0,0.9999928045385571,8110668157.0,0.4778042959427208,0.00477326968973747,0.01909307875894988,0.6
